name,id,minutes,contributor_id,submitted,n_steps,description,n_ingredients
kara s taco soup,201216,80,232534,2006-12-20,4.0,quick and easy comfort food. serve with tortilla chips and salsa.,8.0
karee curry with chicken from thailand,502802,40,157167,2013-07-02,,a mild sounding chicken curry cooked in coconut milk.  from ezythaicooking.com for zwt,11.0
karen s apple bread,223580,50,268973,2007-04-19,4.0,my boyfriend's mom makes this and it is really good.  really an apple cake - very fresh tasting.,10.0
karen s cinnamon rolls   sin  amon rolls,173691,140,209983,2006-06-19,,oooey gooey sinfully good cinnamon rolls! i get asked to make these and asked for the recipe all the time!!! they are fabulous! i hope you enjoy! i usually bake with butter in most dessert recipes but this recipe margarine makes all the difference. cooking times includes time for rising.,13.0
karen s macaroni salad,51468,30,37305,2003-01-15,5.0,"this is my macaroni salad answer to my husband's hatred of celery! the green olives add a nice color and great flavor. even if you do not care for green olives (i don't), they really work well here. i don't like macaroni salad without them now! note:  sometimes i also add halved grape tomatoes for something different.  i've also taken to adding a small amount of celery seed and sometimes a splash of white vinegar.",6.0
karfiol leves  hungarian cauliflower soup,120253,40,125640,2005-05-01,10.0,pronounced kahr-fee-ol le-vesh.,
karin s bean delight,50128,25,31558,2003-01-07,,"very tasty green bean salad--just perfect for a bbq! i ""invented"" this recipe! lol! everyone raved about it at a bbq recently! try it--you'll love it!",6.0
karol z no bake pecan pie,169089,50,260289,2006-05-22,9.0,"a very old recipe makes for a taste delight!  you will love this great way of making pecan pie.  quick and easy, this will soon be a favorite.  cook time is cool time.",9.0
karpenko s seitan aka gluten,123024,20,208121,2005-05-20,,"how to make gluten or seitan.

it is a handy substitute for meat and tastes very good when properly prepared.  from orinsh's eat more, weigh less.  recipe by victor karpenko originally.",9.0
kartoffelpuffer  german potato pancakes   sp5,515026,25,12095219,2014-03-30,7.0,"official contest entry: simply potatoes 5fix.  simply potatoes has made the preparation of a childhood favorite a snap, usually served with pork or veal dinner in germany or as my adaption for a weekend breakfast as in attached picture... traditional german potato pancakes were always served plain with applesauce or with pork or veal dishes.",
kartofler  danish style potatoes,136227,30,147027,2005-09-06,9.0,"different from the other version of this recipe posted for the zaar world tour, this one has onions and some other ingredients. can easily be scaled down. from the net.",7.0
kasha and cremini mushrooms,197768,30,382444,2006-11-26,,"this is a 30 minute dish.  to make it a complete meal, pair it with baked chicken breast.  from the mayo clinic williams-sonoma cookbook.",10.0
kasha kabbage rolls,381737,160,385999,2009-07-16,33.0,"this recipe originates from the jewish vegetarian year cookbook.  the flavour of these kabbage rolls is really unique and i just loved the kasha inside.  another advantage is it is gluten free.  if you want you can make the sauce the day before and it will save time putting the recipe together.  note: i didn't include freezing time for the cabbage if this is what you choose. you can also boil the head of cabbage if you want, i find this makes it much easier to roll the leaves out.  remember to remove the rib with a small sharp knife, this helps with the rolling also.",
kasha varnishkes,48651,35,52282,2002-12-13,5.0,"both of my grandmothers made this often, my family loves this side dish",7.0
kasha varnishkes   jewish buckwheat groats with noodles,192220,35,242161,2006-10-24,13.0,"this is my family's recipe for an eastern european jewish favorite. this side dish is traditionally made with bowtie noodles. it is flavorful and addictively delicious. definitely not for the carb-shy! i am gluten-free and sadly, there are no gluten-free bowtie noodles on the market. if you are gluten-free, hoffner's gf egg noodles or glutano brand tagliatelle (made of maize) work best. buckwheat, by the way, is not related to wheat and is gluten-free (and tasty).",
kasha with mushrooms and onions,44296,30,58647,2002-10-27,7.0,"a pilaf-like side dish, or good by itself.",7.0
kashi cashew chews,118389,11,137854,2005-04-21,,a (slightly!) healthier version of the ol' rice krispy marshmallow treats....,5.0
kashi s mayan harvest bake  copy cat,443910,55,279912,2010-12-10,14.0,"a copy cat recipe of one of kashi's best frozen entrees. healthy, vegan, special and intricate enough for guests! copy cat recipe found on www.eatingbirdfood.com; this blog is written by a young woman (from my hometown, richmond va!) who realized in her early twenties that healthy eating leads to a better life. posted here for safe keeping.",17.0
kashmiri dahi,8947,5,6357,2001-05-07,,,6.0
kat s slow cooker lasagna,331732,315,292489,2008-10-20,12.0,"this has always been a big hit at potlucks. makes dinner easy, can be prepared up to 2 days in advance and kept in the fridge. uses kat's meat sauce #331844 or your favorite meat sauce.",
kate s pineapple panini treat,87541,9,95780,2004-03-27,5.0,"this is from my 9-year old. we were talking about ingredients for panini sandwiches and she said, ",
kathi s toasted marshmallow cinnamon candied yams,365950,45,254144,2009-04-14,14.0,"this is a great side dish and so yummy, it could also double as a dessert:  the product of an accident gone good, very good.- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - i borrowed from several candied yam recipes to come up with a quick and easy version.  then i inadvertently skipped a step toward the end - adding the marshmallows & baking along w/all the other ingredients (instead of waiting for the last 10 minutes like most recipes specify).- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - my ""mistake"" actually made the final product look and taste even better than i had planned!  first time i haven't brought yams back home from a family gathering - when i went to gather up my leftovers, they were all gone!- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - i'll be adding the marshmallows up front ""accidentally, on purpose"" from now on. :) - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - caution!  the baking dish and its contents will still be very hot even after sitting to cool!  enjoy!- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - tip:  when removing from oven, if you can see unmelted candies or brown sugar on the sides or bottom of your baking dish, or would prefer a thicker syrup, leave in oven for the longer time; and/or after removing from oven, transfer baking dish only to the microwave and cook on high for 30-60 seconds at a time until desired melting/thickness of syrup.",
kathleen s irish potato pancakes,485807,26,169430,2012-08-22,4.0,i found this at an irish site on the web while searching irish recipes for zwt.,
kathy  4   ma po s bean curd w pork  zwt ii   asia,173440,15,296809,2006-06-17,9.0,"my sister again & this time with what she describes as ""the best dish i make"". i've luckily eaten a lot of her oriental dishes. if she says this is the best she makes, then take it to the bank! as with the past 3, her source is her ""wei-chuan cookbook"" by huang su huei.",13.0
kathy s apple crisp,308566,50,449848,2008-06-10,6.0,"another great recipe from my mother's kitchen.  it is similar to a couple recipes out there, but measurements vary so i'm posting it.",8.0
kathy s bbq ham sandwich,108605,25,176481,2005-01-17,7.0,"this recipe has been a favorite of our family for years. my children ask for it every holiday as a christmas eve or new year's eve after-supper snack. i like to slow cook this in a crock pot for about an hour or two. you can heat it on the stove to save time. this is best served on plain hamburger buns, but you can enjoy it on your favorite rolls if preferred. it is a messy sandwich, which is similar to a nc-style bbq, not thick so the sauce absorbs into the bun.  the kids love it this way, so enjoy!",
kathy s beef tips with mushrooms,339910,80,452940,2008-11-27,14.0,"this savory, stew-like dish is a great source of vitamin b12 and improves upon standing. make the entire dish ahead (except the rice or noodles), and reheat in a low oven to serving temperature. can be served over buttered egg noodles or steamed rice. from the recipe collection of bird's sister kathy. to add enhanced flavor, drop a couple of bullion cubes into the boiling water while cooking the noodles. :)",15.0
kathy s cake mix cookies,308565,20,449848,2008-06-10,4.0,"my mom always makes her cookies this way. this recipe uses brown sugar, which many other cake mix cookie recipes do not. experiment with cake mix flavors and add-ins. vanilla with chocolate chip, chocolate with peanut butter chips, banana with butterscotch chips...!",5.0
kathy s curried shrimp,248488,25,482376,2007-08-24,13.0,"this is a recipe i created when i had a craving for shrimp. it's simple yet has big flavor. i typically plan on 6 large shrimp per person, but you can adjust to your own preference. i like to serve this over wild rice with a nice salad on the side. i hope you enjoy. :-)",11.0
kathy s deviled eggs,302160,30,72597,2008-05-05,,"these are my favorite deviled eggs! the ketchup makes them different from other deviled eggs, my family devours them! all the ingredients are to taste, i never measure, but tried to approximate. feel free to adjust to your tastes.",5.0
kathy s fruit salad,337210,10,452940,2008-11-14,5.0,from the recipe collection of bird's sister kathy. try it with a dollop of recipe #340254 :),8.0
kathy s ham and bean soup,330161,150,309972,2008-10-12,5.0,"this is the highlight of my 'after' easter cooking....that ham bone that is in the fridge after most of the ham is eaten. i just can't get myself to throw it out without making a pot of this soup!! i use canned beans in place of the dry, it just makes making the soup so much easier and the beans are always cooked just right. be careful when adding salt, if the ham was salty the soup may not need any. hope you like my recipe!!",15.0
kathy s quick and easy eggplant parmigiana,330298,55,309972,2008-10-13,15.0,i just love eggplant parm but didn't like having to bread the eggplant in bread crumbs so i eliminated that step and it is just as wonderful. i also eliminated the 'salt and sit' step in most recipes to take the extra water from the eggplant. i find that step to make the dish dry and tough. i think if you try it this way you'll make it my way forever!!,
kathys fried halloumi cheese with lime and caper vinaigrette,317733,20,323186,2008-08-05,10.0,"a starter for 6 or light meal for 4 with french/pitta bread

we had this as a delicious starter at a friends house, and i begged her for the recipe, i cant wait to try it!!     i'm guessing at the amount of halloumi,   but basically you want to have about four 'fingers' per person, as a starter.    the dressing was marvellous!  i love halloumi but have never tried making it,  well, thats now going to change :d",11.0
katia s apple pie,161021,150,288218,2006-03-22,12.0,"this is my favorite apple pie. i think that its  very easy to make and also is not so full of fat and calories! *update*
when the pie is ready i dust it over with some powdered sugar. much better looking!",7.0
katie couric s lemon chicken,398514,35,37449,2009-11-09,13.0,"gleaned from the today's kitchen cookbook, recipes from the today show. this is from katie couric.",
katie s hot salsa,203863,25,421916,2007-01-07,6.0,"my most requested party snack! easily made and easily doubled!  if you prefer mild salsa, only use 1 jalapeno and/or do not add the seeds.
prep time does not include chill time. if you don't chill it overnight, the flavors won't mix and it won't be very juicy(although it still tastes great).
*tip* use scissors instead of a knife for the cilantro, it's much easier!",7.0
kato tea,457809,2,169430,2011-06-02,2.0,"enjoy the mango rum while your getting healthy with the tea,ginseng and honey. it's a win/win recipe.",2.0
kato s  grand marnier dessert,90708,70,128473,2004-05-05,11.0,oh yummmmm...this is so good and so easy to make...i haven't looked at some of these recipes for a long time...it's nice to get re-acquainted with old friends.,13.0
kato s spicy  beef tenderloin,205934,1465,128473,2007-01-17,,"this dish needs to be marinated overnight to really appreciate the flavour of the spices. it is a very flavourful, easy to prepare dish, perfect for entertaining, best when served medium rare, at room temperature.",
katzen s chocolate peanut butter brownies,433214,60,444132,2010-07-26,,"a happy experiment, born some extra peanut butter and peanut butter chips, and a need for an awesome brownie recipe.  dh said they were outstanding - and this from a guy whose high praise usually comes in the form of a grunted, ""good"".",14.0
kaw man kai,171769,80,323722,2006-06-07,,"this is a dish of chicken, stewed in seasoned water and served with jasmine rice
and a delicious dipping sauce.  it is traditionally a breakfast dish.  i learned it from a chef who spent a lot of time in thailand and offered cooking classes at a local culinary school.",13.0
kay s easy fudge,201707,15,135870,2006-12-23,6.0,this is a recipe i found last year on the internet.  i already have another fudge recipe similar to this one.  i think this one may be better.  pecans are rather expensive so i used walnuts instead.,8.0
kay s german chocolate layer cake with coconut pecan filling,232588,115,256277,2007-06-06,30.0,i finally got it!!  the recipe for the best german chocolate cake i have ever eaten.  it is so decadent without being too sweet (if that makes sense).  my co-worker's girlfriend gave me this recipe.  i usually don't eat the frostings on cakes because they are too sweet but i eat every morsel of this cake!  it's a bit of work but worth it if you have the time.,15.0
kayaku gohan  rice with vegetables,305670,60,469021,2008-05-28,8.0,"from the best recipes in the world by mark bittman.  ""this popular one-pot dish can be made with meat or vegetables and, like most casseroles, is easily varied.  there are many similar dishes throughout east asia, but this one is made distinctively japanese by the addition of mirin and even more so if you use dashi for the cooking stock -- a terrific touch.  arbruage -- fried tofu -- is available, precooked, at japanese markets; it's slightly sweet.  firm, well pressed tofu can be used as a substitute.""",
kaye s salad dressing,56789,30,75379,2003-03-21,4.0,my mom has made this for years and is a family favourite. we use it in salads and in sandwiches.,10.0
kaypee s homemade indian lamb masala  curry,457409,85,1270709,2011-05-27,,"i watched my mother,aunt and sisters making this curry when i was 10 years old and then when i was in college i worked part time in a restaurant and bar in hyderabad,india and used to watch the ustaad(chef) grind all the herbs and spices in old fashined stone grinder and marinade meat and refrigerate  for at least 4 hours before cooking,it came out heavenly delicious and so tender it would melt in your mouth without chewing,i have changed the level of spice to milder side,as in southern part of india the spice level is almost like fire in your mouth.also i have changed some ingredients and some quantity of ingredients.try it,you would want to make this dish part of your every week lunch or dinner.",20.0
kebab  koutbane,169737,380,209983,2006-05-25,,this typically moroccan dish is an excellent hors d'oeuvre to serve at any time. it is amazing how the small cubes of suet improve the flavor of the kebab after some of the fat has burned off. the use of suet is particularly effective when cooking kebabs over a charcoal fire and may be successfully substituted in recipes calling for bacon.,10.0
kedgeree curry  curried pinto beans and rice,331155,20,238966,2008-10-16,7.0,"this is a family favorite- when times were tough we learned at least 100 ways to eat pinot beans. give it a try, it is delicious! serve with diced tomatoes, chopped green onions, slices of hard boiled eggs (optional) and warm tortillas!",7.0
keebler cherry crunch pie,257681,55,114882,2007-10-08,,recipe i posting to try later.  time does not include the four hours cooling time.,9.0
keema  ground beef casserole,434580,80,1226481,2010-08-08,6.0,this is an indian or pakistani dish.  cinnamon is on of my favourite spices but i would never have thought to try it in a savoury dish before now.,11.0
keema mattar,262550,55,598634,2007-10-31,9.0,"serve with roti or naan, cucumbers and yogurt, carrots with yogurt or mint with yogurt",14.0
keeneland bread pudding with bourbon sauce,338056,90,677508,2008-11-18,,"keeneland in a gorgeous horse racing track in lexington, ky.  this is the wonderful, aromatic bread pudding that the keeneland cooks prepare each day during the keeneland meets.  on an average they prepare 20-30 gallons per day.  very tasty and easy to prepare.  prep/cook time does not include overnight soaking time.",
keep my kids healthy smoothie,288952,10,185926,2008-02-27,4.0,"i started making this smoothie about 3 years ago as a way to get fruit
 into my kids in the morning.  i got tired of talking about eating your
 fruit in the morning.  now it's a daily thing and all winter they have
 not had one single cold - these are highly allergic kids with asthma.  i put in a .3 oz of emergen-c supplement, during the winter months to make sure they have enough vitamins to fend of viruses.  these can be found at trader joe's or any health food store.",
kefir juice drink  like drinkable yogurt,353739,1,336058,2009-02-03,1.0,"i got this recipe from welltellme.com.  i started making kefir, but it's quite tangy and this makes it easy to drink and is quite refreshing.  you use it when it's runny (thicker than milk though), not thick like yogurt, to make this drink.  i used maple syrup and grape juice and it was great!",3.0
kefta kebabs,177782,45,268153,2006-07-15,,"a delightfully tangy, healthy, eye catching serving. sure to amaze your guests.",19.0
keftaides me saltsa  meatballs in sauce,207236,30,382071,2007-01-23,,i came across this recipe in the most serendipitous manner...on my way to work going 50mph i saw some trash blowing across the road...it got stuck to my car and i could hear it fluttering all the way to work. when i got out of my car i found a piece of newspaper stuck to my front grill. i took it off and what was it? a torn out page from a week old newspaper that has 4 yummy sounding recipes! wow. i feel obligated to post them now.,13.0
keg s mushroom neptune,203480,25,48692,2007-01-05,,i love these from the keg restaurant and hope these are a great imitation!  recipe from recipecircus,
kehali s kicking hot salsa,66129,140,83060,2003-07-04,13.0,"i prefer very hot salsa but couldn't find a taste i was happy with. i chop all ingredients very very fine because i don't like the real chunky salsa. add or decrease hot peppers to suit your taste. if you really like it hot, use more habanero's. (not for the weak of heart!) you will definitely want a tall glass of ice water when trying this! just remember to wash hands extremely well or use disposable gloves during preparation and do not touch your eyes! habanero's are extremely hot. enjoy.",
keke de vainilla  peruvian vanilla cake,321787,35,903274,2008-08-27,3.0,delicious and simple. tradition is to eat it with manjarblanco or also called dulce de leche in other countries.,7.0
kellerkuchen  cellar cake,129988,260,223169,2005-07-15,,"kellerkuchen is a reminiscence of childhood. as a child i loved this ""layered-cocoa-butter cookie-cake"". my aunt ulla has rediscovered this recipe and adapted it a little bit. i still love this easy to make and inexpensive sweet treat.",9.0
kellogg s corn flakes pie crust,336565,25,1018332,2008-11-11,6.0,real good . got it from kellogg's web site,4.0
kelly and pam s key lime pie dip,148982,15,68710,2005-12-21,,"my friend and i were discussing our fondness for key lime pie when we thought a dip for the holidays would be good ... one you could dip graham crackers, vanilla wafers, or fruit, into. this is what we came up with.",
kelly s blt club pasta salad,135438,35,113941,2005-08-30,8.0,"one of my favorites! i've always put swiss cheese and turkey in mine, really makes it extra special!",10.0
kelly s blueberry banana bread,109884,70,113941,2005-01-31,8.0,"not bragging, but everyone says this is simply the best banana bread they've ever had. blueberries are one of my fav fruits and i put them in everything!i love to make it, especially since it makes 2 loaves. we keep one and always give the other one away. :)",14.0
kelly s crock pot  smoked  beef roast or brisket,140878,490,250553,2005-10-10,9.0,"this is awesome!  if you love brisket or beef cooked in the smoker and just don't have time to, or maybe the weather won't permit- you have to try this.  i have used every cut of beef roast or brisket, it always comes out great!  enjoy!",5.0
kelly s french silk chocolate pie,110397,30,113941,2005-02-06,,"this pie is to die for, and my most requested pie, too! easy to make, very rich! happy to share! enjoy! :)",
kelly s midwest    cold remedy   pot roast,51501,185,113941,2003-01-15,,"searching for that ""grandma's house smells so good"" pot roast dinner? got it right here! have perfected it, and man! (actually worked on this recipe for several years now, don't be fooled by the mustard and horseradish, the flavors mellow as it cooks, and tastes like you literally stepped back in time...so hope you try this, it's wonderful, and a keeper...:)",11.0
kelly s mushroom sauce,41921,25,55225,2002-10-02,6.0,"this is my friend's recipe, hence the recipe title. a bit of time involved, but not difficult. she serves it all the time with beef steaks--heavenly.",
kelly s party finger sandwiches,103523,40,113941,2004-11-08,,i can't go anywhere without bringing these! nice enough for wedding showers to football parties! really hope you try them!,12.0
kelly s spicy buffalo wings and drumettes,208472,35,113941,2007-01-30,,one of my all-time favorites! hope you try them! :),11.0
kelly s tapenade,140870,15,250553,2005-10-10,,"i created this recipe after trying a store bought tapenade a couple years ago.  it was great, but very expensive for such a small amount.  i serve it with homemade toasts or store bought bagel chips.  enjoy!",11.0
kellymac s artichoke cream cheese crescent rolls  w  a kick,376705,15,318235,2009-06-10,,"as with most of my recipes this one came about because i needed an appetizer and didn't have time to run back out to the store. personally i think the result is delicious! if you wish to make bigger rolls then don't bother cutting the triangles in half and put 2 tbsps of filling in each. these do have a little bit of a kick but this can be tempered by using mild chiles, mild marinated artichoke hearts, and all black pepper instead of half black half cayenne. enjoy!",11.0
kellymac s cranberry walnut salad,337317,10,318235,2008-11-14,,this is a delicious salad that is great in the fall or winter. i serve with a balsamic vinagrette dressing. i particularly like recipe #154351 . this is very easy to make but guests are usually impressed because it is a little more exciting than your standard garden salad.,8.0
kelsey s peanut butter bars,254911,35,206779,2007-09-24,,this is my dil's recipe.  she knows that any time our family gets together she is expected to bring these.  simple to make and yummy!,
kemp s vegetarian black beans   6 qt pressure cooker,512333,50,724631,2014-01-19,15.0,"entered for safe-keeping, adapted from gourmet executive food editor kemp minifie in april 2007 gourmet.  kemp minifie claims that the vegetarian ""holy trinity"" of flavor is sherry, soy sauce and balsamic vinegar.  beans improve in flavor if cooked at least 8 hours ahead.  chill, uncovered until completely cooled, then chill covered up to 1 week, or freeze up to 3 months.  beans thicken a lot as they stand, so thin with water when reheating over moderately low heat.   because these beans are best cooled so they thicken as they stand, some people make a big pot on the stove and designate it for other recipes.  so i am giving both the pressure cooker directions and the non-pressure directions.  the pressure cooker takes 1/3 the time.  the preparation time does not include chilling time; the cooking time is for the pressure cooker.",
ken s fresh meats no fail prime rib recipe,315151,7,245301,2008-07-22,12.0,"i got this from a butcher in eden prairie, mn.  his shop is no longer in business, but his recipe lives on.  this is the easiest way to make a prime rib roast and it always truns out perfect!",3.0
kenji s better big mac,512892,45,724631,2014-02-01,31.0,"entered for safe-keeping.  by kenji lópez-alt, chief creative officer of serious eats, who sought to make a higher quality big mac, keeping the balance of tastes and small bun size, while omitting the long list of preservatives and thickeners.  this is my kind of copycat - make it better, not the same!  more at: http://aht.seriouseats.com/archives/2011/05/the-burger-lab-building-a-better-big-mac.html.  kenji uses the wonderbread or sunbeam bread for the small diameter and the squishiness. it may not be clear in the ingredients list but you need 1 1/2 buns: 1 top and 2 bottoms.  this recipe calls for a meat grinder, a microwave, a refrigerator, a toaster oven or broiler and a stove-top.",16.0
kenny s farmer skillet,297972,20,144490,2008-04-11,,"my granddad was a farmer and made this frequently for my mother during her childhood. mom made it for me as breakfast or anytime. i've left this recipe in its most basic form. it's not that it can't be gourmet, i just believe that its grandest statement is about cooking convenience and instant belly comfort. to me, that has its own five star merits. of course, you could add onions and peppers, different cheeses,  bacon or ham, leftovers from the fridge, or fancy spice blends. i make it a priority to cook a couple of extra baked potatoes to save for making this later...and it is always good.",5.0
kentucky  pie  giant chocolate chip cookie pie with nuts,168605,75,209983,2006-05-18,,"this reminds me of a giant chocolate chip cookie pie with nuts!!  very good!
see variations at the bottom of directions for diffrent flavors",8.0
kentucky baked chicken,431865,45,1627002,2010-07-04,9.0,taken from 'tesco' magazine - each serving contains 340 calories/2 g sugar/15 g fats/3 g saturates/0.8 salt,10.0
kentucky blueberry coffee cake,55822,65,26399,2003-03-07,10.0,,10.0
kentucky bourbon chocolate nut pie,144552,40,177443,2005-11-11,4.0,"a foolproof pie of chocolate and pecans, laced with your favorite bourbon--what's not to like! if you have unexpected company, grab a frozen crust from your freezer, and this will be ready in no time. a little ice cream on top is good. originally from wild turkey distillery.",
kentucky butter cake,8843,110,8342,2001-04-28,21.0,this is a favorite of our family. my mother-in-law has made it for years.,
kentucky buttercream bundt cake,148651,75,152862,2005-12-18,,"this recipe came from a church cookbook from harlan, kentucky. this is a very rich, very easy to make bundt cake.",11.0
kentucky chocolate gravy,106353,5,152862,2004-12-17,9.0,my dad told me how my great-grandmother would make chocolate gravy and biscuits and my curiosity was piqued. this is the recipe we worked together to create. it is very simple and takes only a few minutes.,6.0
kentucky cream candy,23496,25,347016,2002-03-28,12.0,"dbmnmr
*^*lovingly adopted by mom2 t, k, k & g september 2006 =)*^*",3.0
kentucky plantation wedding punch,199634,310,86764,2006-12-07,,"this recipe is from our electric co-op.  i like it because it is relatively inexpensive to make, serves quite a bit, and is not necessarily diabetic-friendly, but has no added sugar.  the carbs are from the fruit juice.  passive time is chill time for the ingredients.",
kentucky style oven barbecued chicken,28741,65,37779,2002-05-18,9.0,southern living; family favorite,9.0
kenya fish baked with tomatoes and spices  mtuzi wa samaki,192961,45,108846,2006-10-31,9.0,(m’too-zee wah sah-mah-kee) the hallmark of much of african cooking is the hot and peppery nature.,10.0
kenyan coconut rice,455178,30,178427,2011-05-05,7.0,"posted for zwt7-africa.i found this on the internet. "" i loved it and it's easy to make"".",
keoke coffee,119735,5,134663,2005-04-29,2.0,tasty coffee that packs a wallop!,4.0
kerry apple cake,86829,45,37072,2004-03-17,9.0,i went to a luncheon today with a st. patrick's day theme and the hostess made this wonderful apple cake. her irish daughter-in-law provided the recipe.,6.0
kerry simon  iron chef slider,383879,30,971800,2009-08-03,14.0,"watched the iron chef show and found the recipe posted online so i thought i'd share here.

the rolling stone-dubbed ""rock-n-roll chef"" shares his secret to making a simple hamburger far from boring.",13.0
kesakeitto    finnish summer soup,373281,25,424680,2009-05-20,4.0,"found this recipe in the 1973 cookbook, scandinavian cooking.",11.0
ketchup   from fresh garden tomatoes,518033,360,232037,2014-08-20,23.0,"we all know ketchup or catsup. but this is your kicked up, homemade, garden-grown version. an absolutely delicious way to use up your extra garden tomatoes.",
ketchup grilled cheese,293348,10,205730,2008-03-21,10.0,"this is really a simple recipe.  as a kid i was obsessed with ketchup.  i never let anyone else make my grilled cheeses because i was convinced they couldn't master this technique... it's really nothing special but it just tastes better than dipping the sandwich in the ketchup.  i'm not sure if it will work as well using real cheese, i always made it with kraft or velveeta... so just a warning :)",
ketjap manis,39318,25,51579,2002-09-03,,"this is indonesian soy sauce; slightly thicker and sweeter than regular soy sauce. if you cannot buy commercial ketjap manis in your local market, you can follow this recipe. i use it in my ""barbecued roast beef"" recipe, for a marinade base, and in spicy peanut sauce.",7.0
keto seed crackers,529975,75,64411,2017-01-17,,"zero carb crackers that have fat protein and fiber and my guests love more than traditional crackers for cheese, cream cheese, hummus or peanut butter. i like to score the batter before cooking to make breaking apart the crackers. have served these with regular crackers and these are gone first. great for diabetics or those looking for low-carb alternatives.",
kevin mark s macaroni for a crowd,375568,25,169825,2009-06-02,,the macaroni salad that all bow down for.,13.0
kevin s aloo gobi,23375,45,33239,2002-03-28,5.0,great as a main dish for 2 or as a side dish for up to 4,13.0
kevin s kicked up cocktail sauce,264956,10,644457,2007-11-12,4.0,cocktail sauce with a kick.,
key lime cheesecake,247539,98,67103,2007-08-19,36.0,"what makes this recipe so exceptional is the lime custard on the bottom, which makes it seem like you're not only eating cheesecake but key lime pie, too.  **this cheesecake needs to be refrigerated overnight.**",
key lime cheesecake tarts,390036,40,501778,2009-09-14,,"i love these mini treats! they are beautiful and delicious, the crust is by far the best part!",
key lime chiffon pie,169660,225,319738,2006-05-25,,"from the ""new basics cookbook"".  this is the best key lime pie i have had, though it is not exactly the traditional key lime pie.  it is a little bit of work :) but the results are worth it!",11.0
key lime coconut snowballs,149545,30,43642,2005-12-28,8.0,from cooking light november 2005.,
key lime cream cheese frosting,328247,10,939163,2008-10-01,,delicious with margherita cupcakes,5.0
key lime ginger mini cupcakes,114701,47,161189,2005-03-30,16.0,"a lightly gingery cake that leaves a lingering taste of spice and lime in your mouth for minutes after it's gone.  golden color and light texture, nothing like gingerbread.  the contrast of ginger and lime seems made for each other.  this recipe had origins in a bon appetite recipe using lemon, but i've made changes over time that has allowed evolution into it's own unique cake.  enjoy!",
key lime meringue pie made with no condensed milk,399587,45,98812,2009-11-16,,"i have this thing about canned condensed milk.  every time i look at the number of calories in the  can, i just balk at using it.  but i do love key lime pie in spite of the fact that most recipes use the condensed milk.  so i was delighted to find a recipe for this favorite without the condensed milk.  it may end up having the same number of calories, but i will just feel better knowing i avoided the high-calorie milk.  i have not yet tried this recipe; i am saving it for a special occasion.  note that preparation time includes cooling time.",12.0
key lime pie  sooo easy,118819,25,199902,2005-04-24,,"i got this recipe off the back of a bottle of mrs. biddles key lime juice.  it is sooo easy and delicious.  trust me, you want to try this!",4.0
key lime spritz cookies,266581,48,43642,2007-11-19,15.0,from midwest living december 2007,11.0
key west chicken,437007,60,1445414,2010-09-09,6.0,i haven't tried this recipe but i am always looking for new and exciting chicken recipes. this one fits the bill.,6.0
key west ribs,151574,440,53959,2006-01-13,3.0,another one that looks good.,
kfc coleslaw,249878,20,565828,2007-08-30,,this is the slaw recipe from kfc.,
kfc coleslaw by real employee,218429,5,356850,2007-03-23,7.0,i worked for kfc for 3 years and coleslaw making was a near daily occurrence. this is the real recipe scaled down to table size. i see lot of recipes claiming to be the real thing but none are. this is the real thing. the sugar amount is not a typo. ***i updated the recipe because i left out the onion,6.0
kfc crispy strips,58952,15,59532,2003-04-08,9.0,the colonel used to sell chicken nuggets that were tasty but he thought 'why not prepare fresh chicken strips of all white meat?' and that is how the colonel's crispy strips were born. you will notice it is the same as the extra crispy.,
kfc fat free coleslaw,108384,15,178696,2005-01-15,5.0,"this is a copycat recipe developed by top secret recipes (topsecretrecipes.com). it's delicious & easy...my husband loves it and doesn't even know it's fat free! the trick is to chop the cabbage, carrot & onion into small, rice-sized bits if you want the texture of the original. i run all the veggies through the shredder of my food processor which does it in short order! *original* kfc cole slaw has 210 calories/10.5g of fat for the same size serving!!! enjoy!",
kfc honey bbq strips,134728,40,166019,2005-08-24,10.0,these are so yummy and they do taste just like kfc's honey bbq strips. enjoy!!,12.0
kfc mac   cheese  copycat,497734,23,945395,2013-03-17,10.0,"my reverse-engineered recipe for kfc's ""mac & cheese"", by request.",9.0
kfc tender roast chicken seasoning mix   copycat   clone,58955,300,59532,2003-04-08,,the colonel also had a roasted chicken that was mighty tasty. the chicken was marinated also and then baked with his famous seasonings. the baking process was long it takes 4 hours to bake it. it is baked at 225 for 2 hours till the internal temp was at 175. but for you at home i have updated this to be baked at a higher temperature and be prepared in less time.,
